date,orders,units,planned_workers,actual_workers,absences,labor_hours,units_per_labor_hour,backlog_units,overtime_hours,on_time_ship_pct,error_rate_pct,promo_flag,day_of_week
2026-01-27,47125,63659,102,95,4,911.2,56.3,199425,249.6,86.0,2.2,0,Tuesday
2026-01-28,43666,53760,86,82,3,786.6,61.2,204884,256.0,86.0,2.2,0,Wednesday
2026-01-29,34470,44847,72,66,4,618.4,53.6,216734,273.0,86.0,2.2,0,Thursday
2026-01-30,41823,51683,83,78,3,776.5,63.4,220016,276.4,86.0,2.2,0,Friday
2026-01-31,40799,52886,85,78,4,768.0,56.1,230245,287.6,86.0,2.2,0,Saturday
2026-02-01,40287,48112,77,72,4,654.5,58.8,240614,301.5,86.0,2.2,0,Sunday
2026-02-02,42698,54068,87,79,5,767.3,51.4,255411,319.4,86.0,2.2,0,Monday
2026-02-03,39303,53737,86,85,1,851.4,62.5,256318,319.7,86.0,2.2,0,Tuesday
2026-02-04,47984,64376,103,100,3,944.7,62.6,262048,326.3,86.0,2.2,1,Wednesday
2026-02-05,37998,50772,81,74,6,703.3,66.6,266421,334.0,86.0,2.2,0,Thursday
2026-02-06,34117,49413,79,76,3,756.8,54.3,274134,340.7,86.0,2.2,0,Friday
2026-02-07,43602,52626,84,81,0,771.0,59.0,281483,352.7,86.0,2.2,1,Saturday
2026-02-08,43993,55590,89,87,4,851.5,59.3,286801,358.2,86.0,2.2,1,Sunday
2026-02-09,40130,48213,77,79,0,731.7,64.1,287931,360.2,86.0,2.2,0,Monday
2026-02-10,36315,51868,83,76,4,706.2,54.8,300668,375.4,86.0,2.2,0,Tuesday
2026-02-11,39397,48724,78,75,5,709.1,53.3,312056,389.3,86.0,2.2,0,Wednesday
2026-02-12,39090,51006,82,77,5,767.1,59.6,316635,397.1,86.0,2.2,0,Thursday
2026-02-13,36997,49868,80,70,8,715.9,61.3,322705,404.7,86.0,2.2,0,Friday
2026-02-14,34413,43130,69,72,0,655.8,59.1,326945,411.0,86.0,2.2,0,Saturday
2026-02-15,31831,41292,66,63,4,612.2,59.6,332299,414.0,86.0,2.2,0,Sunday
2026-02-16,45436,60308,97,93,6,878.0,57.7,342141,426.7,86.0,2.2,0,Monday
2026-02-17,34866,47289,76,73,3,717.4,53.3,351018,436.4,86.0,2.2,0,Tuesday
2026-02-18,33161,39786,64,64,0,662.2,62.8,348919,436.7,86.0,2.2,0,Wednesday
2026-02-19,34666,47952,77,76,4,739.8,58.1,354332,444.9,86.0,2.2,0,Thursday
2026-02-20,43967,62974,101,96,4,916.4,62.1,361192,451.1,86.0,2.2,1,Friday
2026-02-21,25974,35610,57,52,2,514.9,50.9,370178,460.7,86.0,2.2,0,Saturday
2026-02-22,29557,38638,62,61,3,594.6,63.8,371083,464.5,86.0,2.2,0,Sunday
2026-02-23,37560,47315,76,73,2,661.7,57.3,380468,476.0,86.0,2.2,0,Monday
2026-02-24,35384,46254,74,73,2,698.3,54.9,388338,485.7,86.0,2.2,0,Tuesday
2026-02-25,46880,66561,107,102,5,982.0,50.9,404359,505.1,86.0,2.2,1,Wednesday
2026-02-26,29070,36424,58,54,3,489.9,62.0,411297,512.1,86.0,2.2,0,Thursday
2026-02-27,34792,46598,75,78,0,755.1,58.6,414304,517.1,86.0,2.2,0,Friday
2026-02-28,29980,35530,57,52,4,498.3,55.0,422641,527.3,86.0,2.2,0,Saturday
2026-03-01,26602,38202,61,56,2,532.6,62.1,427441,534.9,86.0,2.2,0,Sunday
2026-03-02,33660,37934,61,57,6,533.4,52.9,437020,545.9,86.0,2.2,0,Monday
2026-03-03,33224,39883,64,62,4,633.5,61.7,437630,546.9,86.0,2.2,0,Tuesday
2026-03-04,30378,44589,71,65,3,592.4,63.5,444781,554.9,86.0,2.2,0,Wednesday
2026-03-05,26405,34817,56,54,1,506.5,60.7,448020,558.1,86.0,2.2,0,Thursday
2026-03-06,33799,45351,73,73,2,714.9,62.5,449907,562.9,86.0,2.2,0,Friday
2026-03-07,29815,42341,68,64,2,598.2,59.0,457354,573.5,86.0,2.2,0,Saturday
2026-03-08,27232,38020,61,63,0,581.2,51.3,465100,580.3,86.0,2.2,0,Sunday
2026-03-09,33440,43988,70,62,5,567.8,57.2,476901,595.9,86.0,2.2,0,Monday
2026-03-10,28522,37621,60,56,2,501.4,63.9,482319,601.7,86.0,2.2,0,Tuesday
2026-03-11,27266,33978,54,49,5,470.3,64.2,485519,605.6,86.0,2.2,0,Wednesday
2026-03-12,31353,42083,67,66,4,645.6,54.2,491486,615.6,86.0,2.2,0,Thursday
2026-03-13,32406,45189,72,63,7,609.9,59.4,499977,625.0,86.0,2.2,0,Friday
2026-03-14,34188,48235,77,73,2,709.8,62.9,504217,631.0,86.0,2.2,0,Saturday
2026-03-15,23735,31488,50,48,1,434.5,68.1,506995,635.4,86.0,2.2,0,Sunday
2026-03-16,38477,47423,76,74,4,669.3,60.8,513697,644.3,86.0,2.2,0,Monday
2026-03-17,39812,51905,83,81,2,765.2,57.9,520696,651.5,86.0,2.2,1,Tuesday
2026-03-18,36504,51278,82,78,6,717.9,56.4,531620,665.0,86.0,2.2,0,Wednesday
2026-03-19,30146,39023,62,57,3,537.5,58.6,539288,673.5,86.0,2.2,0,Thursday
2026-03-20,34996,46959,75,72,1,720.2,56.1,544769,678.7,86.0,2.2,0,Friday
2026-03-21,34814,38510,62,56,4,562.6,56.3,551435,688.4,86.0,2.2,0,Saturday
2026-03-22,37110,47987,77,72,8,728.2,60.6,555353,694.6,86.0,2.2,0,Sunday
2026-03-23,43450,56096,90,86,3,844.3,61.1,559972,700.0,86.0,2.2,0,Monday
2026-03-24,38003,47178,76,75,1,714.7,58.1,566050,706.0,86.0,2.2,0,Tuesday
2026-03-25,37314,46245,74,71,5,676.1,53.1,575447,719.3,86.0,2.2,0,Wednesday
2026-03-26,37640,52538,84,81,2,738.5,62.2,582662,727.8,86.0,2.2,0,Thursday
2026-03-27,35785,46067,74,73,4,685.5,65.4,583552,728.4,86.0,2.2,0,Friday
2026-03-28,34768,45483,73,67,7,684.8,60.1,587271,734.2,86.0,2.2,0,Saturday
2026-03-29,36634,46533,75,72,6,713.2,67.0,586263,734.5,86.0,2.2,0,Sunday
2026-03-30,50834,64776,104,97,5,915.7,62.7,593471,741.9,86.0,2.2,1,Monday
2026-03-31,44427,59744,96,90,6,818.7,60.6,604043,756.1,86.0,2.2,0,Tuesday
2026-04-01,43592,58550,94,91,4,771.2,62.6,612487,763.5,86.0,2.2,0,Wednesday
2026-04-02,38356,54835,88,83,3,853.7,61.0,615459,771.3,86.0,2.2,0,Thursday
2026-04-03,40880,49498,79,79,3,776.1,61.1,617363,771.6,86.0,2.2,0,Friday
2026-04-04,34848,49079,79,73,3,657.3,62.9,625353,779.9,86.0,2.2,0,Saturday
2026-04-05,40342,48719,78,76,4,738.1,59.7,629746,788.2,86.0,2.2,0,Sunday
2026-04-06,47076,63468,102,97,7,925.6,61.5,636655,795.7,86.0,2.2,0,Monday
2026-04-07,42858,57739,93,84,6,820.2,62.6,642437,804.8,86.0,2.2,0,Tuesday
2026-04-08,40211,53246,85,82,4,769.3,63.6,646921,809.0,86.0,2.2,0,Wednesday
2026-04-09,42587,48786,78,73,4,720.2,66.0,648282,809.8,86.0,2.2,0,Thursday
2026-04-10,47022,59970,96,91,6,886.1,57.0,658241,823.6,86.0,2.2,0,Friday
2026-04-11,39311,53596,86,87,2,788.7,60.1,664457,833.5,86.0,2.2,0,Saturday
2026-04-12,42493,56493,91,89,5,840.7,67.1,664304,831.7,86.0,2.2,0,Sunday
2026-04-13,51433,73837,119,114,6,1038.5,60.0,674994,842.6,86.0,2.2,0,Monday
2026-04-14,43589,62542,100,97,5,916.4,62.8,680003,850.1,86.0,2.2,0,Tuesday
2026-04-15,47560,61726,99,93,4,909.4,61.8,685240,858.0,86.0,2.2,0,Wednesday
2026-04-16,59547,83985,135,127,8,1233.1,63.2,690766,864.3,86.0,2.2,1,Thursday
2026-04-17,48532,69837,112,105,5,988.7,61.4,699910,876.2,86.0,2.2,0,Friday
2026-04-18,44021,58118,93,90,3,847.6,60.2,706846,885.7,86.0,2.2,0,Saturday
2026-04-19,40114,52106,84,78,3,736.5,66.4,710070,887.6,86.0,2.2,0,Sunday
2026-04-20,44431,51534,83,77,3,731.9,63.9,715073,893.4,86.0,2.2,0,Monday
2026-04-21,49337,66200,106,100,4,953.9,61.0,723817,901.8,86.0,2.2,0,Tuesday
2026-04-22,45713,54828,88,86,2,791.1,71.3,723124,903.4,86.0,2.2,0,Wednesday
2026-04-23,46120,57196,92,85,4,784.8,61.6,732138,915.7,86.0,2.2,0,Thursday
2026-04-24,48330,63754,102,102,2,957.7,62.5,736308,920.2,86.0,2.2,0,Friday
2026-04-25,51611,76110,122,112,10,1027.7,67.2,742791,926.9,86.0,2.2,1,Saturday
2026-04-26,40805,51661,83,78,3,717.0,70.6,743993,931.1,86.0,2.2,0,Sunday
2026-04-27,49668,60086,96,95,1,862.8,66.6,746627,934.8,86.0,2.2,1,Monday
2026-04-28,47531,65511,105,102,4,989.0,63.4,749183,935.1,86.0,2.2,0,Tuesday
2026-04-29,43388,57364,92,84,6,843.6,66.4,750060,939.6,86.0,2.2,0,Wednesday
2026-04-30,44308,52078,83,77,4,689.5,65.1,758037,946.6,86.0,2.2,0,Thursday
2026-05-01,47621,62712,101,91,9,896.3,61.4,766104,957.1,86.0,2.2,0,Friday
2026-05-02,43511,59697,96,88,6,883.3,67.1,766352,958.4,86.0,2.2,0,Saturday
2026-05-03,46089,62178,100,94,5,821.6,52.5,785761,982.3,86.0,2.2,0,Sunday
2026-05-04,55422,76811,123,118,7,1102.9,59.3,796060,995.4,86.0,2.2,0,Monday
2026-05-05,40602,50459,81,78,4,671.5,63.6,804202,1005.0,86.0,2.2,0,Tuesday
2026-05-06,35385,45724,73,71,1,694.5,58.2,809733,1012.8,86.0,2.2,0,Wednesday
2026-05-07,38893,55042,88,86,3,816.3,54.4,820451,1026.7,86.0,2.2,0,Thursday
2026-05-08,45190,52861,85,84,2,823.8,62.1,822333,1030.1,86.0,2.2,0,Friday
2026-05-09,38426,48269,77,71,5,661.4,56.7,834278,1043.2,86.0,2.2,0,Saturday
2026-05-10,44404,60610,97,92,2,885.4,69.0,834001,1042.0,86.0,2.2,1,Sunday
2026-05-11,45617,63558,102,99,2,927.3,62.6,838959,1050.3,86.0,2.2,0,Monday
2026-05-12,43821,59263,95,92,2,873.2,62.5,843896,1055.1,86.0,2.2,0,Tuesday
2026-05-13,32314,41833,67,62,3,591.0,66.2,846032,1057.9,86.0,2.2,0,Wednesday
2026-05-14,38868,52742,85,84,0,852.8,63.5,844506,1056.3,86.0,2.2,0,Thursday
2026-05-15,39467,50544,81,76,3,728.8,63.7,848593,1061.4,86.0,2.2,0,Friday
2026-05-16,39951,57107,92,89,3,914.9,65.2,846548,1058.2,86.0,2.2,0,Saturday
2026-05-17,39967,53336,86,82,2,805.4,63.7,848910,1060.8,86.0,2.2,0,Sunday
2026-05-18,44580,58547,94,90,4,761.9,55.8,865533,1081.1,86.0,2.2,0,Monday
2026-05-19,38054,51114,82,70,9,657.5,58.5,878015,1098.1,86.0,2.2,0,Tuesday
2026-05-20,37774,56810,91,86,5,870.7,62.5,880884,1100.2,86.0,2.2,0,Wednesday
2026-05-21,37884,46108,74,73,1,648.3,61.5,887707,1109.6,86.0,2.2,0,Thursday
2026-05-22,43716,52609,84,79,3,797.7,62.9,890432,1113.2,86.0,2.2,0,Friday
2026-05-23,36247,43864,70,65,4,603.5,60.9,897229,1120.3,86.0,2.2,0,Saturday
2026-05-24,29869,41128,66,63,1,586.0,58.4,904810,1131.4,86.0,2.2,0,Sunday
2026-05-25,41420,61293,98,92,5,891.6,64.8,907359,1132.2,86.0,2.2,0,Monday
2026-05-26,35359,41201,66,62,1,529.3,60.0,916697,1145.4,86.0,2.2,0,Tuesday
2026-05-27,29683,40647,65,61,4,600.5,56.1,924658,1154.7,86.0,2.2,0,Wednesday
2026-05-28,50446,65535,105,98,7,939.1,60.6,934002,1167.2,86.0,2.2,1,Thursday
2026-05-29,36922,44108,71,70,2,656.0,55.2,941568,1176.1,86.0,2.2,0,Friday
2026-05-30,30929,41172,66,68,1,618.7,57.1,947124,1182.5,86.0,2.2,0,Saturday
2026-05-31,32080,41781,67,64,4,575.4,55.7,956868,1197.3,86.0,2.2,0,Sunday
2026-06-01,39978,54530,87,83,3,785.0,54.2,967683,1210.7,86.0,2.2,0,Monday
2026-06-02,31172,40713,65,60,2,579.5,62.3,972384,1217.4,86.0,2.2,0,Tuesday
2026-06-03,39193,47276,76,76,3,758.1,63.1,971894,1214.6,86.0,2.2,0,Wednesday
2026-06-04,35302,46820,75,73,2,768.0,53.5,977762,1221.3,86.0,2.2,0,Thursday
2026-06-05,39020,52107,84,77,6,668.3,67.7,984824,1232.3,86.0,2.2,0,Friday
2026-06-06,32039,43017,69,61,5,600.3,61.0,991100,1237.1,86.0,2.2,0,Saturday
2026-06-07,27743,36739,59,58,3,574.7,60.2,992863,1240.5,86.0,2.2,0,Sunday
2026-06-08,40172,47990,77,72,5,702.9,61.5,998787,1247.2,86.0,2.2,0,Monday
2026-06-09,43986,58849,94,92,5,883.1,58.1,1006314,1256.0,86.0,2.2,1,Tuesday
2026-06-10,31454,44006,70,69,4,648.7,54.7,1014323,1267.3,86.0,2.2,0,Wednesday
2026-06-11,34939,46812,75,74,3,725.6,58.8,1017716,1270.5,86.0,2.2,0,Thursday
2026-06-12,35440,53513,86,84,1,764.8,58.9,1026229,1280.0,86.0,2.2,0,Friday
2026-06-13,34429,48269,77,71,3,660.1,51.4,1040863,1300.9,86.0,2.2,0,Saturday
2026-06-14,38902,53237,85,81,1,729.9,58.2,1052570,1317.1,86.0,2.2,1,Sunday
2026-06-15,43070,56981,91,84,4,797.1,60.1,1060924,1325.5,86.0,2.2,0,Monday
2026-06-16,35777,47544,76,75,3,725.8,55.5,1068528,1334.7,86.0,2.2,0,Tuesday
2026-06-17,41323,51985,83,78,3,723.1,58.6,1078672,1349.1,86.0,2.2,0,Wednesday
2026-06-18,39283,48157,77,75,2,684.7,56.6,1088012,1358.6,86.0,2.2,0,Thursday
2026-06-19,38163,50595,81,81,1,817.9,65.7,1085019,1354.7,86.0,2.2,0,Friday
2026-06-20,38906,51652,83,83,0,808.5,66.1,1083789,1352.8,86.0,2.2,0,Saturday
2026-06-21,36929,49555,79,79,3,699.3,59.6,1091480,1364.2,86.0,2.2,0,Sunday
2026-06-22,47266,61239,98,93,4,821.0,63.0,1100994,1376.3,86.0,2.2,0,Monday
2026-06-23,42256,55753,89,86,5,803.1,63.8,1105983,1383.1,86.0,2.2,0,Tuesday
2026-06-24,52102,71461,115,109,4,1068.3,67.5,1104843,1380.8,86.0,2.2,1,Wednesday
2026-06-25,43687,59689,96,90,5,861.9,59.9,1113630,1391.0,86.0,2.2,0,Thursday
2026-06-26,38460,46735,75,72,0,655.8,59.4,1121749,1401.4,86.0,2.2,0,Friday
2026-06-27,41387,52339,84,82,4,809.0,62.7,1122706,1404.2,86.0,2.2,0,Saturday
2026-06-28,41337,55084,88,85,4,796.5,62.0,1128853,1410.4,86.0,2.2,0,Sunday
2026-06-29,53984,74410,120,113,10,1129.9,54.2,1142419,1429.7,86.0,2.2,1,Monday
2026-06-30,45763,56513,91,86,5,833.3,65.3,1144120,1428.8,86.0,2.2,0,Tuesday
2026-07-01,40795,55327,89,88,3,802.9,58.7,1152877,1441.8,86.0,2.2,0,Wednesday
2026-07-02,56018,74603,120,113,5,1042.6,63.1,1161922,1448.9,86.0,2.2,1,Thursday
2026-07-03,49456,64026,103,104,2,948.2,65.3,1163058,1455.2,86.0,2.2,0,Friday
2026-07-04,50271,69841,112,104,7,973.3,57.4,1177702,1470.5,86.0,2.2,1,Saturday
2026-07-05,41716,52389,84,80,2,762.7,55.8,1186412,1482.6,86.0,2.2,0,Sunday
2026-07-06,50039,74061,119,110,6,976.6,58.3,1203689,1503.4,86.0,2.2,0,Monday
2026-07-07,46277,61693,99,93,4,874.7,60.0,1212526,1516.2,86.0,2.2,0,Tuesday
2026-07-08,50784,66076,106,100,5,1009.4,55.4,1223097,1526.6,86.0,2.2,0,Wednesday
2026-07-09,49241,62790,101,93,5,875.3,57.7,1235238,1544.3,86.0,2.2,0,Thursday
2026-07-10,50209,68466,110,107,6,1019.8,62.6,1239969,1549.9,86.0,2.2,0,Friday
2026-07-11,43819,59362,95,91,5,819.8,65.7,1245413,1555.4,86.0,2.2,0,Saturday
2026-07-12,51398,70554,113,109,6,1041.6,60.9,1252223,1566.0,86.0,2.2,0,Sunday
2026-07-13,65177,85669,138,137,4,1230.9,63.4,1258582,1573.5,86.0,2.2,1,Monday
2026-07-14,51955,66930,107,101,6,943.1,65.2,1263535,1579.8,86.0,2.2,0,Tuesday
2026-07-15,47843,57874,93,88,3,856.3,63.1,1267432,1582.9,86.0,2.2,0,Wednesday
2026-07-16,58831,79381,128,123,8,1090.6,58.5,1282502,1601.4,86.0,2.2,0,Thursday
2026-07-17,49423,64554,104,100,7,948.9,63.2,1286962,1608.3,86.0,2.2,0,Friday
2026-07-18,47079,57300,92,87,4,760.8,57.2,1300978,1626.7,86.0,2.2,0,Saturday
2026-07-19,59266,77779,125,119,5,1104.3,63.0,1309323,1637.4,86.0,2.2,1,Sunday
2026-07-20,57782,80297,129,124,5,1245.0,62.1,1311476,1638.5,86.0,2.2,0,Monday
2026-07-21,54591,67486,108,101,4,967.0,62.6,1318639,1649.4,86.0,2.2,0,Tuesday
2026-07-22,50504,67099,108,105,6,1017.9,61.2,1323052,1653.9,86.0,2.2,0,Wednesday
2026-07-23,48640,65848,106,98,7,934.4,70.8,1322540,1653.6,86.0,2.2,0,Thursday
2026-07-24,52615,70794,114,105,8,985.3,72.4,1322238,1651.9,86.0,2.2,0,Friday
2026-07-25,45318,60281,97,90,5,878.0,57.4,1331543,1664.7,86.0,2.2,0,Saturday
2026-07-26,48249,60817,98,95,4,945.8,63.7,1332454,1667.1,86.0,2.2,0,Sunday
2026-07-27,59146,74046,119,112,4,1052.3,55.9,1347856,1684.9,86.0,2.2,1,Monday
2026-07-28,48126,71692,115,109,6,997.3,53.7,1366013,1707.4,86.0,2.2,0,Tuesday
2026-07-29,51151,63709,102,96,3,913.2,61.7,1372422,1715.3,86.0,2.2,0,Wednesday
2026-07-30,47058,61450,99,93,5,918.7,59.8,1378740,1724.0,86.0,2.2,0,Thursday
2026-07-31,51297,73012,117,109,9,1002.4,61.1,1390549,1738.1,86.0,2.2,0,Friday
2026-08-01,42215,56014,90,87,3,833.6,61.6,1395472,1747.0,86.0,2.2,0,Saturday
2026-08-02,40304,58304,94,94,3,858.7,60.8,1401493,1750.8,86.0,2.2,0,Sunday
2026-08-03,48112,67135,108,103,6,921.5,57.9,1415273,1770.5,86.0,2.2,0,Monday
2026-08-04,39765,55778,89,84,2,807.8,62.0,1421482,1777.5,86.0,2.2,0,Tuesday
2026-08-05,45927,62378,100,91,7,857.7,53.2,1437965,1798.0,86.0,2.2,0,Wednesday
2026-08-06,46487,51135,82,79,1,802.7,58.7,1440988,1802.7,86.0,2.2,0,Thursday
2026-08-07,47070,63499,102,97,7,954.5,54.4,1452823,1817.4,86.0,2.2,0,Friday
2026-08-08,44561,67991,109,104,4,969.5,59.7,1462674,1827.3,86.0,2.2,0,Saturday
2026-08-09,39879,58814,94,92,5,882.4,64.5,1464737,1832.6,86.0,2.2,0,Sunday
2026-08-10,48575,65692,105,98,10,921.7,62.8,1473208,1842.9,86.0,2.2,0,Monday
2026-08-11,37365,53715,86,81,5,743.9,54.5,1486524,1858.1,86.0,2.2,0,Tuesday
2026-08-12,56116,78784,127,120,8,1202.1,60.2,1491909,1864.7,86.0,2.2,1,Wednesday
2026-08-13,41133,59238,95,90,6,874.6,60.8,1498033,1871.1,86.0,2.2,0,Thursday
2026-08-14,46441,67140,108,100,9,915.1,59.5,1510947,1891.7,86.0,2.2,0,Friday
2026-08-15,36281,50180,80,75,2,709.5,67.7,1512924,1888.2,86.0,2.2,0,Saturday
2026-08-16,38302,49719,80,73,5,654.3,58.8,1524491,1904.9,86.0,2.2,0,Sunday
2026-08-17,46575,54172,87,78,6,749.4,57.3,1535161,1918.4,86.0,2.2,0,Monday
2026-08-18,40037,55988,90,83,5,768.2,57.4,1546256,1933.2,86.0,2.2,0,Tuesday
2026-08-19,38357,55466,89,85,1,840.5,66.7,1545288,1930.9,86.0,2.2,0,Wednesday
2026-08-20,39926,57652,92,90,4,858.2,65.8,1547557,1933.8,86.0,2.2,0,Thursday
2026-08-21,43582,53977,87,85,4,779.0,56.9,1557369,1947.9,86.0,2.2,0,Friday
2026-08-22,33840,46671,75,72,5,749.6,59.4,1559268,1950.0,86.0,2.2,0,Saturday
2026-08-23,38161,47846,77,76,3,748.5,58.5,1562435,1950.7,86.0,2.2,0,Sunday
2026-08-24,41282,52171,84,82,3,766.4,66.6,1563932,1954.9,86.0,2.2,0,Monday
2026-08-25,47941,59801,96,91,5,871.2,64.2,1567658,1961.8,86.0,2.2,1,Tuesday
2026-08-26,39258,51461,83,80,4,783.7,66.8,1566774,1959.4,86.0,2.2,0,Wednesday
2026-08-27,42732,63963,103,100,5,930.8,66.2,1569417,1962.1,86.0,2.2,0,Thursday
2026-08-28,42152,60772,98,95,6,932.6,59.7,1574202,1969.8,86.0,2.2,0,Friday
